protein	gene	chrom	rates
NP_000830.2	GRM2	3	data/rates/GRM2_NP_000830.2.csv
NP_055458.1	ZNF516	18	data/rates/ZNF516_NP_055458.1.csv
NP_055635.3	TOMM70	3	data/rates/TOMM70_NP_055635.3.csv
NP_001211.3	CAMK2B	7	data/rates/CAMK2B_NP_001211.3.csv
NP_055827.1	TMEM41B	11	data/rates/TMEM41B_NP_055827.1.csv
NP_001290432.1	PPP4C	16	data/rates/PPP4C_NP_001290432.1.csv
NP_620156.1	GALM	2	data/rates/GALM_NP_620156.1.csv
NP_006752.1	YWHAE	17	data/rates/YWHAE_NP_006752.1.csv
NP_004809.2	DDX23	12	data/rates/DDX23_NP_004809.2.csv
NP_002743.3	MAPK9	5	data/rates/MAPK9_NP_002743.3.csv
NP_112228.1	KRTAP1-3	17	data/rates/KRTAP1-3_NP_112228.1.csv
NP_006244.2	PRKAB1	12	data/rates/PRKAB1_NP_006244.2.csv
NP_005073.2	TRIM25	17	data/rates/TRIM25_NP_005073.2.csv
NP_003480.2	NRIP1	21	data/rates/NRIP1_NP_003480.2.csv
NP_001014402.1	KATNAL1	13	data/rates/KATNAL1_NP_001014402.1.csv
NP_000345.2	SERPINA7	X	data/rates/SERPINA7_NP_000345.2.csv
NP_001239160.1	SEC24A	5	data/rates/SEC24A_NP_001239160.1.csv
NP_056219.3	WHRN	9	data/rates/WHRN_NP_056219.3.csv
NP_059993.2	XAF1	17	data/rates/XAF1_NP_059993.2.csv
NP_057524.3	VRK3	19	data/rates/VRK3_NP_057524.3.csv
NP_078934.3	IPO4	14	data/rates/IPO4_NP_078934.3.csv
NP_055843.1	TNIK	3	data/rates/TNIK_NP_055843.1.csv
NP_001335258.1	TRIP12	2	data/rates/TRIP12_NP_001335258.1.csv
NP_055628.1	LRIG2	1	data/rates/LRIG2_NP_055628.1.csv
NP_036611.2	YWHAG	7	data/rates/YWHAG_NP_036611.2.csv
NP_000194.2	IDUA	4	data/rates/IDUA_NP_000194.2.csv
NP_005766.3	SORBS3	8	data/rates/SORBS3_NP_005766.3.csv
NP_005390.1	PRKAB2	1	data/rates/PRKAB2_NP_005390.1.csv
NP_001006641.1	TCEAL1	X	data/rates/TCEAL1_NP_001006641.1.csv
NP_073713.2	CTBP2	10	data/rates/CTBP2_NP_073713.2.csv
NP_653178.3	ODAD1	19	data/rates/CCDC114_NP_653178.3.csv
NP_002437.2	MAP3K10	19	data/rates/MAP3K10_NP_002437.2.csv
NP_008987.2	CLASRP	19	data/rates/CLASRP_NP_008987.2.csv
NP_001917.1	DEFA6	8	data/rates/DEFA6_NP_001917.1.csv
NP_064623.2	INCENP	11	data/rates/INCENP_NP_064623.2.csv
NP_001035784.1	INCENP	11	data/rates/INCENP_NP_001035784.1.csv
NP_008974.5	KRR1	12	data/rates/KRR1_NP_008974.5.csv
NP_872606.1	RASSF5	1	data/rates/RASSF5_NP_872606.1.csv
NP_001273285.1	PRM2	16	data/rates/PRM2_NP_001273285.1.csv
NP_001317958.1	PPP1R12B	1	data/rates/PPP1R12B_NP_001317958.1.csv
NP_001469.1	B4GALNT1	12	data/rates/B4GALNT1_NP_001469.1.csv
NP_062559.2	WDR45B	17	data/rates/WDR45B_NP_062559.2.csv
NP_002941.1	RPN1	3	data/rates/RPN1_NP_002941.1.csv
NP_689633.1	CARNMT1	9	data/rates/CARNMT1_NP_689633.1.csv
NP_116114.1	BUD13	11	data/rates/BUD13_NP_116114.1.csv
NP_005137.1	SART1	11	data/rates/SART1_NP_005137.1.csv
NP_060893.2	STYK1	12	data/rates/STYK1_NP_060893.2.csv
NP_001003787.1	STRADA	17	data/rates/STRADA_NP_001003787.1.csv
NP_038460.4	TONSL	8	data/rates/TONSL_NP_038460.4.csv
NP_005721.3	CTDSP2	12	data/rates/CTDSP2_NP_005721.3.csv
NP_001137458.1	TLE6	19	data/rates/TLE6_NP_001137458.1.csv
NP_001310.3	CSNK1G2	19	data/rates/CSNK1G2_NP_001310.3.csv
NP_001317598.1	SARS1	1	data/rates/SARS_NP_001317598.1.csv
NP_001996.1	FES	15	data/rates/FES_NP_001996.1.csv
NP_001025177.1	AP2B1	17	data/rates/AP2B1_NP_001025177.1.csv
NP_056189.1	SUN2	22	data/rates/SUN2_NP_056189.1.csv
NP_009298.1	ABL2	1	data/rates/ABL2_NP_009298.1.csv
NP_036558.3	SF3B3	16	data/rates/SF3B3_NP_036558.3.csv
NP_077273.2	PHF23	17	data/rates/PHF23_NP_077273.2.csv
NP_056249.1	INTS7	1	data/rates/INTS7_NP_056249.1.csv
NP_008971.2	HNRNPUL1	19	data/rates/HNRNPUL1_NP_008971.2.csv
NP_060147.2	MTMR8	X	data/rates/MTMR8_NP_060147.2.csv
NP_291028.3	TP53RK	20	data/rates/TP53RK_NP_291028.3.csv
NP_775790.1	CLVS1	8	data/rates/CLVS1_NP_775790.1.csv
NP_000701.2	BDKRB1	14	data/rates/BDKRB1_NP_000701.2.csv
NP_036601.2	PRPF6	20	data/rates/PRPF6_NP_036601.2.csv
NP_002457.1	MYBL2	20	data/rates/MYBL2_NP_002457.1.csv
NP_940995.1	C1QTNF1	17	data/rates/C1QTNF1_NP_940995.1.csv
NP_001269475.1	STK40	1	data/rates/STK40_NP_001269475.1.csv
NP_057213.2	COPS4	4	data/rates/COPS4_NP_057213.2.csv
NP_689628.2	VPS37A	8	data/rates/VPS37A_NP_689628.2.csv
NP_002826.3	PTPN12	7	data/rates/PTPN12_NP_002826.3.csv
NP_055297.1	BMP10	2	data/rates/BMP10_NP_055297.1.csv
NP_005424.1	YES1	18	data/rates/YES1_NP_005424.1.csv
NP_001073909.1	OTOL1	3	data/rates/OTOL1_NP_001073909.1.csv
NP_004413.1	DVL2	17	data/rates/DVL2_NP_004413.1.csv
NP_055072.3	CLEC4M	19	data/rates/CLEC4M_NP_055072.3.csv
NP_078811.3	CORO7	16	data/rates/CORO7_NP_078811.3.csv
NP_002727.2	PRKAR2B	7	data/rates/PRKAR2B_NP_002727.2.csv
NP_002782.1	PSMA6	14	data/rates/PSMA6_NP_002782.1.csv
NP_077722.1	PDYN	20	data/rates/PDYN_NP_077722.1.csv
NP_036462.2	KAT6B	10	data/rates/KAT6B_NP_036462.2.csv
NP_005889.3	CAPRIN1	11	data/rates/CAPRIN1_NP_005889.3.csv
NP_006504.2	SARS1	1	data/rates/SARS_NP_006504.2.csv
NP_003370.2	EZR	6	data/rates/EZR_NP_003370.2.csv
NP_542437.2	TRPV1	17	data/rates/TRPV1_NP_542437.2.csv
NP_079471.1	TRIB1	8	data/rates/TRIB1_NP_079471.1.csv
NP_002196.4	ITGA5	12	data/rates/ITGA5_NP_002196.4.csv
NP_009185.2	PNKP	19	data/rates/PNKP_NP_009185.2.csv
NP_006354.2	SEC23B	20	data/rates/SEC23B_NP_006354.2.csv
NP_078943.1	VPS37B	12	data/rates/VPS37B_NP_078943.1.csv
NP_006692.1	TXNL4A	18	data/rates/TXNL4A_NP_006692.1.csv
NP_001164672.1	UBAP1	9	data/rates/UBAP1_NP_001164672.1.csv
NP_071400.1	TSPYL2	X	data/rates/TSPYL2_NP_071400.1.csv
NP_835464.1	NEK8	17	data/rates/NEK8_NP_835464.1.csv
NP_112199.2	CCNL2	1	data/rates/CCNL2_NP_112199.2.csv
NP_001357232.1	RNF167	17	data/rates/RNF167_NP_001357232.1.csv
NP_056932.2	KRT76	12	data/rates/KRT76_NP_056932.2.csv
NP_001073922.2	INTS1	7	data/rates/INTS1_NP_001073922.2.csv
NP_001008537.1	NEXMIF	X	data/rates/NEXMIF_NP_001008537.1.csv
NP_060612.2	INTS10	8	data/rates/INTS10_NP_060612.2.csv
NP_001290377.1	SRRM1	1	data/rates/SRRM1_NP_001290377.1.csv
NP_002061.1	GNAI2	3	data/rates/GNAI2_NP_002061.1.csv
NP_653333.1	HNRNPUL1	19	data/rates/HNRNPUL1_NP_653333.1.csv
NP_006235.1	PPP2R5B	11	data/rates/PPP2R5B_NP_006235.1.csv
NP_001035536.1	MTMR12	5	data/rates/MTMR12_NP_001035536.1.csv
NP_598001.1	NEK7	1	data/rates/NEK7_NP_598001.1.csv
NP_002731.4	PRKCI	3	data/rates/PRKCI_NP_002731.4.csv
NP_006457.2	POLR3F	20	data/rates/POLR3F_NP_006457.2.csv
NP_597701.1	ZNF526	19	data/rates/ZNF526_NP_597701.1.csv
NP_003836.1	DYRK4	12	data/rates/DYRK4_NP_003836.1.csv
NP_001106878.1	LDB1	10	data/rates/LDB1_NP_001106878.1.csv
NP_002136.1	HOXB2	17	data/rates/HOXB2_NP_002136.1.csv
NP_001298089.1	THY1	11	data/rates/THY1_NP_001298089.1.csv
NP_056104.2	VPS39	15	data/rates/VPS39_NP_056104.2.csv
NP_851607.2	SCYL3	1	data/rates/SCYL3_NP_851607.2.csv
NP_055964.3	RGL1	1	data/rates/RGL1_NP_055964.3.csv
NP_000206.2	JAK3	19	data/rates/JAK3_NP_000206.2.csv
NP_057597.2	CILK1	6	data/rates/ICK_NP_057597.2.csv
NP_057722.4	ARL6IP4	12	data/rates/ARL6IP4_NP_057722.4.csv
NP_598375.3	HELQ	4	data/rates/HELQ_NP_598375.3.csv
NP_001035207.1	ARAP1	11	data/rates/ARAP1_NP_001035207.1.csv
NP_002392.2	MAP3K3	17	data/rates/MAP3K3_NP_002392.2.csv
NP_001035847.1	PPP4R1	18	data/rates/PPP4R1_NP_001035847.1.csv
NP_000408.1	IL2RA	10	data/rates/IL2RA_NP_000408.1.csv
NP_955805.1	CCDC80	3	data/rates/CCDC80_NP_955805.1.csv
NP_620708.1	MAPK9	5	data/rates/MAPK9_NP_620708.1.csv
NP_001298127.1	AP2M1	3	data/rates/AP2M1_NP_001298127.1.csv
NP_005537.3	ITK	5	data/rates/ITK_NP_005537.3.csv
NP_001163931.1	CDK16	X	data/rates/CDK16_NP_001163931.1.csv
NP_001363188.1	BBOX1	11	data/rates/BBOX1_NP_001363188.1.csv
NP_001123551.1	MOV10	1	data/rates/MOV10_NP_001123551.1.csv
NP_071904.4	XPO4	13	data/rates/XPO4_NP_071904.4.csv
NP_898880.1	VPS28	8	data/rates/VPS28_NP_898880.1.csv
NP_056057.2	ARAP1	11	data/rates/ARAP1_NP_056057.2.csv
NP_066005.2	RNF213	17	data/rates/RNF213_NP_066005.2.csv
NP_001123543.1	EPN1	19	data/rates/EPN1_NP_001123543.1.csv
NP_000292.1	PLG	6	data/rates/PLG_NP_000292.1.csv
NP_001374.4	DPH1	17	data/rates/DPH1_NP_001374.4.csv
NP_001186740.1	INTS7	1	data/rates/INTS7_NP_001186740.1.csv
NP_001186040.1	MDH1	2	data/rates/MDH1_NP_001186040.1.csv
NP_001332816.1	CNNM1	10	data/rates/CNNM1_NP_001332816.1.csv
NP_061164.4	ARL6IP4	12	data/rates/ARL6IP4_NP_061164.4.csv
NP_951009.1	MKNK2	19	data/rates/MKNK2_NP_951009.1.csv
NP_005080.1	ZRSR2	X	data/rates/ZRSR2_NP_005080.1.csv
NP_001036236.1	LCK	1	data/rates/LCK_NP_001036236.1.csv
NP_000111.1	EPHX1	1	data/rates/EPHX1_NP_000111.1.csv
NP_001352856.1	NLGN1	3	data/rates/NLGN1_NP_001352856.1.csv
NP_006741.1	SNTB2	16	data/rates/SNTB2_NP_006741.1.csv
NP_004235.4	CD163	12	data/rates/CD163_NP_004235.4.csv
NP_004374.1	CSK	15	data/rates/CSK_NP_004374.1.csv
NP_001135943.1	INTS12	4	data/rates/INTS12_NP_001135943.1.csv
NP_001276046.1	NMRK2	19	data/rates/NMRK2_NP_001276046.1.csv
NP_037525.1	MRM2	7	data/rates/MRM2_NP_037525.1.csv
NP_001372159.1	MTMR6	13	data/rates/MTMR6_NP_001372159.1.csv
NP_055857.1	ZNF609	15	data/rates/ZNF609_NP_055857.1.csv
NP_004626.1	MAPKAPK3	3	data/rates/MAPKAPK3_NP_004626.1.csv
NP_001358230.1	DYRK4	12	data/rates/DYRK4_NP_001358230.1.csv
NP_001188386.1	TEX14	17	data/rates/TEX14_NP_001188386.1.csv
NP_001295142.1	ZNF346	5	data/rates/ZNF346_NP_001295142.1.csv
NP_001340434.1	INTS10	8	data/rates/INTS10_NP_001340434.1.csv
NP_001136157.1	ARHGAP32	11	data/rates/ARHGAP32_NP_001136157.1.csv
NP_004688.2	PRPF4	9	data/rates/PRPF4_NP_004688.2.csv
NP_006600.3	MAP3K2	2	data/rates/MAP3K2_NP_006600.3.csv
NP_997303.2	SLC2A7	1	data/rates/SLC2A7_NP_997303.2.csv
NP_001269970.1	USP25	21	data/rates/USP25_NP_001269970.1.csv
NP_079235.2	SLC8B1	12	data/rates/SLC8B1_NP_079235.2.csv
NP_001317260.1	RNF111	15	data/rates/RNF111_NP_001317260.1.csv
NP_001156752.1	HTATSF1	X	data/rates/HTATSF1_NP_001156752.1.csv
NP_001155044.1	MAFF	22	data/rates/MAFF_NP_001155044.1.csv
NP_001362326.1	CILK1	6	data/rates/ICK_NP_001362326.1.csv
NP_055655.1	NUAK1	12	data/rates/NUAK1_NP_055655.1.csv
NP_001171725.1	ESYT1	12	data/rates/ESYT1_NP_001171725.1.csv
NP_001311.3	CSNK2B	6	data/rates/CSNK2B_NP_001311.3.csv
NP_056132.1	PUM2	2	data/rates/PUM2_NP_056132.1.csv
NP_775292.1	NR4A3	9	data/rates/NR4A3_NP_775292.1.csv
NP_001164265.1	BACH2	6	data/rates/BACH2_NP_001164265.1.csv
NP_006566.2	MAP4K5	14	data/rates/MAP4K5_NP_006566.2.csv
NP_958815.1	LUC7L	16	data/rates/LUC7L_NP_958815.1.csv
NP_741960.1	CAMK2A	5	data/rates/CAMK2A_NP_741960.1.csv
NP_002073.2	GRK6	5	data/rates/GRK6_NP_002073.2.csv
NP_000203.2	ITGB3	17	data/rates/ITGB3_NP_000203.2.csv
NP_001288067.1	VPS39	15	data/rates/VPS39_NP_001288067.1.csv
NP_938207.2	TEX14	17	data/rates/TEX14_NP_938207.2.csv
NP_005430.1	MLF2	12	data/rates/MLF2_NP_005430.1.csv
NP_004676.3	MTMR6	13	data/rates/MTMR6_NP_004676.3.csv
NP_001153645.1	NAT1	8	data/rates/NAT1_NP_001153645.1.csv
NP_001158233.1	PRKAR1B	7	data/rates/PRKAR1B_NP_001158233.1.csv
NP_037465.2	EPN1	19	data/rates/EPN1_NP_037465.2.csv
NP_700356.2	LRIG3	12	data/rates/LRIG3_NP_700356.2.csv
NP_065842.1	TAOK1	17	data/rates/TAOK1_NP_065842.1.csv
NP_001363162.1	ZP2	16	data/rates/ZP2_NP_001363162.1.csv
NP_057287.2	PRKAG2	7	data/rates/PRKAG2_NP_057287.2.csv
NP_689985.1	TCP11L2	12	data/rates/TCP11L2_NP_689985.1.csv
NP_056349.1	ZZZ3	1	data/rates/ZZZ3_NP_056349.1.csv
NP_071925.2	KLHL25	15	data/rates/KLHL25_NP_071925.2.csv
NP_066566.3	DAB1	1	data/rates/DAB1_NP_066566.3.csv
NP_937790.2	ABHD15	17	data/rates/ABHD15_NP_937790.2.csv
NP_060914.2	PDP1	8	data/rates/PDP1_NP_060914.2.csv
NP_001035937.1	ABHD12	20	data/rates/ABHD12_NP_001035937.1.csv
NP_076413.3	BRD9	5	data/rates/BRD9_NP_076413.3.csv
NP_004762.2	MMP20	11	data/rates/MMP20_NP_004762.2.csv
NP_061180.1	PIP4P2	8	data/rates/PIP4P2_NP_061180.1.csv
NP_689771.3	IQCE	7	data/rates/IQCE_NP_689771.3.csv
NP_055938.2	FRMD4B	3	data/rates/FRMD4B_NP_055938.2.csv
NP_001027006.2	KCNU1	8	data/rates/KCNU1_NP_001027006.2.csv
NP_525023.2	ABCA6	17	data/rates/ABCA6_NP_525023.2.csv
NP_789789.2	DIPK2B	X	data/rates/CXorf36_NP_789789.2.csv
NP_001297267.1	MGME1	20	data/rates/MGME1_NP_001297267.1.csv
NP_001656.2	RHOG	11	data/rates/RHOG_NP_001656.2.csv
NP_002022.1	FRK	6	data/rates/FRK_NP_002022.1.csv
NP_002137.4	HOXB3	17	data/rates/HOXB3_NP_002137.4.csv
NP_079426.2	TARS2	1	data/rates/TARS2_NP_079426.2.csv
NP_006076.4	BPNT1	1	data/rates/BPNT1_NP_006076.4.csv
NP_006232.1	PPP1R2	3	data/rates/PPP1R2_NP_006232.1.csv
NP_001306779.2	ARHGAP9	12	data/rates/ARHGAP9_NP_001306779.2.csv
NP_001277197.1	RIPOR3	20	data/rates/RIPOR3_NP_001277197.1.csv
NP_932343.1	C1orf52	1	data/rates/C1orf52_NP_932343.1.csv
NP_060662.2	P3H2	3	data/rates/P3H2_NP_060662.2.csv
NP_071735.2	RBSN	3	data/rates/RBSN_NP_071735.2.csv
NP_057330.2	HSD17B14	19	data/rates/HSD17B14_NP_057330.2.csv
NP_001138594.1	CAPN14	2	data/rates/CAPN14_NP_001138594.1.csv
NP_663696.1	DBF4B	17	data/rates/DBF4B_NP_663696.1.csv
NP_689760.2	BTNL9	5	data/rates/BTNL9_NP_689760.2.csv
NP_073572.2	ACBD3	1	data/rates/ACBD3_NP_073572.2.csv
NP_001284.1	CLNS1A	11	data/rates/CLNS1A_NP_001284.1.csv
NP_001011718.1	XKR7	20	data/rates/XKR7_NP_001011718.1.csv
NP_001135977.1	ABCG4	11	data/rates/ABCG4_NP_001135977.1.csv
NP_004498.1	HUS1	7	data/rates/HUS1_NP_004498.1.csv
NP_055058.2	ADAMTS3	4	data/rates/ADAMTS3_NP_055058.2.csv
NP_004843.2	ONECUT2	18	data/rates/ONECUT2_NP_004843.2.csv
NP_037460.2	PYCR2	1	data/rates/PYCR2_NP_037460.2.csv
NP_001003800.1	BICD2	9	data/rates/BICD2_NP_001003800.1.csv
NP_599030.1	CYGB	17	data/rates/CYGB_NP_599030.1.csv
NP_000528.1	REN	1	data/rates/REN_NP_000528.1.csv
NP_076951.2	CAMKV	3	data/rates/CAMKV_NP_076951.2.csv
NP_075045.2	PAPOLG	2	data/rates/PAPOLG_NP_075045.2.csv
NP_997281.2	GBP7	1	data/rates/GBP7_NP_997281.2.csv
NP_055873.1	VWA8	13	data/rates/VWA8_NP_055873.1.csv
NP_055138.2	PATZ1	22	data/rates/PATZ1_NP_055138.2.csv
NP_057225.2	DYNC1LI1	3	data/rates/DYNC1LI1_NP_057225.2.csv
NP_001073966.2	MEGF9	9	data/rates/MEGF9_NP_001073966.2.csv
NP_689929.2	PATL1	11	data/rates/PATL1_NP_689929.2.csv
NP_071451.2	IFIH1	2	data/rates/IFIH1_NP_071451.2.csv
NP_922932.2	ADAMTS6	5	data/rates/ADAMTS6_NP_922932.2.csv
NP_003493.1	AXIN1	16	data/rates/AXIN1_NP_003493.1.csv
NP_055027.1	HOXC11	12	data/rates/HOXC11_NP_055027.1.csv
NP_001443.1	FOXF2	6	data/rates/FOXF2_NP_001443.1.csv
NP_056315.1	C2CD2	21	data/rates/C2CD2_NP_056315.1.csv
NP_078954.4	NARS2	11	data/rates/NARS2_NP_078954.4.csv
NP_060156.1	GDAP2	1	data/rates/GDAP2_NP_060156.1.csv
NP_001191676.1	RFC1	4	data/rates/RFC1_NP_001191676.1.csv
NP_775750.3	WDR88	19	data/rates/WDR88_NP_775750.3.csv
NP_004925.1	CDH18	5	data/rates/CDH18_NP_004925.1.csv
NP_036427.1	CABIN1	22	data/rates/CABIN1_NP_036427.1.csv
NP_079039.4	DNAI4	1	data/rates/WDR78_NP_079039.4.csv
NP_002930.2	RNH1	11	data/rates/RNH1_NP_002930.2.csv
NP_060107.3	BNC2	9	data/rates/BNC2_NP_060107.3.csv
NP_057025.2	ATP6V1H	8	data/rates/ATP6V1H_NP_057025.2.csv
NP_001070819.1	RBM23	14	data/rates/RBM23_NP_001070819.1.csv
NP_079224.1	MINDY3	10	data/rates/MINDY3_NP_079224.1.csv
NP_689772.2	METTL27	7	data/rates/METTL27_NP_689772.2.csv
NP_001034851.1	INSYN2A	10	data/rates/FAM196A_NP_001034851.1.csv
NP_060024.2	PARP14	3	data/rates/PARP14_NP_060024.2.csv
NP_001107605.1	SYNPO2L	10	data/rates/SYNPO2L_NP_001107605.1.csv
NP_597705.2	TMEM132D	12	data/rates/TMEM132D_NP_597705.2.csv
NP_219487.3	PGAP3	17	data/rates/PGAP3_NP_219487.3.csv
NP_001129277.1	SYT1	12	data/rates/SYT1_NP_001129277.1.csv
NP_002891.1	RBP3	10	data/rates/RBP3_NP_002891.1.csv
NP_056517.1	MMADHC	2	data/rates/MMADHC_NP_056517.1.csv
NP_001094058.1	RC3H2	9	data/rates/RC3H2_NP_001094058.1.csv
NP_620148.1	CANT1	17	data/rates/CANT1_NP_620148.1.csv
NP_001138409.1	FNDC7	1	data/rates/FNDC7_NP_001138409.1.csv
NP_067082.2	PGAP6	16	data/rates/TMEM8A_NP_067082.2.csv
NP_060453.3	WIPI1	17	data/rates/WIPI1_NP_060453.3.csv
NP_002106.2	HK3	5	data/rates/HK3_NP_002106.2.csv
NP_060757.4	ARHGAP12	10	data/rates/ARHGAP12_NP_060757.4.csv
NP_116178.2	PARP10	8	data/rates/PARP10_NP_116178.2.csv
NP_057377.4	BIN2	12	data/rates/BIN2_NP_057377.4.csv
NP_056480.1	AAAS	12	data/rates/AAAS_NP_056480.1.csv
NP_006043.1	VPS26C	21	data/rates/VPS26C_NP_006043.1.csv
NP_110385.1	OSBP2	22	data/rates/OSBP2_NP_110385.1.csv
NP_000431.2	PDE6A	5	data/rates/PDE6A_NP_000431.2.csv
NP_036382.2	RRAS2	11	data/rates/RRAS2_NP_036382.2.csv
NP_057715.2	PAXBP1	21	data/rates/PAXBP1_NP_057715.2.csv
NP_003932.3	WASL	7	data/rates/WASL_NP_003932.3.csv
NP_005526.1	IL12RB1	19	data/rates/IL12RB1_NP_005526.1.csv
NP_055365.2	CARD10	22	data/rates/CARD10_NP_055365.2.csv
NP_001002814.2	RAB11FIP1	8	data/rates/RAB11FIP1_NP_001002814.2.csv
NP_009141.2	GALNT6	12	data/rates/GALNT6_NP_009141.2.csv
NP_891550.1	ADAMTS9	3	data/rates/ADAMTS9_NP_891550.1.csv
NP_112217.2	ADAMTS12	5	data/rates/ADAMTS12_NP_112217.2.csv
NP_653230.2	RFTN2	2	data/rates/RFTN2_NP_653230.2.csv
NP_085058.3	WDR59	16	data/rates/WDR59_NP_085058.3.csv
NP_733775.1	MEIS2	15	data/rates/MEIS2_NP_733775.1.csv
NP_001337.2	DGKG	3	data/rates/DGKG_NP_001337.2.csv
NP_001248376.1	GPM6A	4	data/rates/GPM6A_NP_001248376.1.csv
NP_778236.2	DDX51	12	data/rates/DDX51_NP_778236.2.csv
NP_073613.2	OSBPL11	3	data/rates/OSBPL11_NP_073613.2.csv
NP_005432.1	CHAF1B	21	data/rates/CHAF1B_NP_005432.1.csv
NP_062823.1	SLC7A10	19	data/rates/SLC7A10_NP_062823.1.csv
NP_036233.2	TRIM29	11	data/rates/TRIM29_NP_036233.2.csv
NP_689943.4	TBC1D32	6	data/rates/TBC1D32_NP_689943.4.csv
NP_789845.1	PPA2	4	data/rates/PPA2_NP_789845.1.csv
NP_689744.3	XXYLT1	3	data/rates/XXYLT1_NP_689744.3.csv
NP_001338.2	DGKQ	4	data/rates/DGKQ_NP_001338.2.csv
NP_536739.1	GAB2	11	data/rates/GAB2_NP_536739.1.csv
NP_839943.3	IQGAP3	1	data/rates/IQGAP3_NP_839943.3.csv
NP_001001786.2	BLID	11	data/rates/BLID_NP_001001786.2.csv
NP_113679.1	RBP5	12	data/rates/RBP5_NP_113679.1.csv
NP_872418.1	GATD1	11	data/rates/GATD1_NP_872418.1.csv
NP_536721.1	GATA5	20	data/rates/GATA5_NP_536721.1.csv
NP_059830.1	WDR1	4	data/rates/WDR1_NP_059830.1.csv
NP_004144.2	ORC1	1	data/rates/ORC1_NP_004144.2.csv
NP_008879.3	HSPA13	21	data/rates/HSPA13_NP_008879.3.csv
NP_653273.3	OTOA	16	data/rates/OTOA_NP_653273.3.csv
NP_004806.3	ARHGAP29	1	data/rates/ARHGAP29_NP_004806.3.csv
NP_001185863.1	ABCC10	6	data/rates/ABCC10_NP_001185863.1.csv
NP_068589.1	HAPLN2	1	data/rates/HAPLN2_NP_068589.1.csv
NP_777598.3	FRMD3	9	data/rates/FRMD3_NP_777598.3.csv
NP_005078.2	FXR1	3	data/rates/FXR1_NP_005078.2.csv
NP_001032903.1	GAB4	22	data/rates/GAB4_NP_001032903.1.csv
NP_004460.1	VEGFD	X	data/rates/VEGFD_NP_004460.1.csv
NP_001073861.1	DENND11	7	data/rates/KIAA1147_NP_001073861.1.csv
NP_001139656.1	PEG3	19	data/rates/ZIM2_NP_001139656.1.csv
NP_000626.2	RFX2	19	data/rates/RFX2_NP_000626.2.csv
NP_000803.2	GABRB1	4	data/rates/GABRB1_NP_000803.2.csv
NP_060640.2	RPRD1A	18	data/rates/RPRD1A_NP_060640.2.csv
NP_060650.2	DHX32	10	data/rates/DHX32_NP_060650.2.csv
NP_057160.2	DESI2	1	data/rates/DESI2_NP_057160.2.csv
NP_079177.2	DENND2D	1	data/rates/DENND2D_NP_079177.2.csv
NP_060272.3	DNAAF5	7	data/rates/DNAAF5_NP_060272.3.csv
NP_071449.1	XYLT1	16	data/rates/XYLT1_NP_071449.1.csv
NP_000333.1	SLC4A1	17	data/rates/SLC4A1_NP_000333.1.csv
NP_689920.1	SLC25A16	10	data/rates/SLC25A16_NP_689920.1.csv
NP_054868.3	WDR91	7	data/rates/WDR91_NP_054868.3.csv
NP_061026.2	SIRPG	20	data/rates/SIRPG_NP_061026.2.csv
NP_060754.2	GBP3	1	data/rates/GBP3_NP_060754.2.csv
NP_005246.2	GAK	4	data/rates/GAK_NP_005246.2.csv
NP_653292.2	CAPN12	19	data/rates/CAPN12_NP_653292.2.csv
NP_002909.4	RFX1	19	data/rates/RFX1_NP_002909.4.csv
NP_620687.2	ADAMTS16	5	data/rates/ADAMTS16_NP_620687.2.csv
NP_001122400.1	INPP1	2	data/rates/INPP1_NP_001122400.1.csv
NP_056087.2	RPGRIP1L	16	data/rates/RPGRIP1L_NP_056087.2.csv
NP_073747.1	DCLRE1B	1	data/rates/DCLRE1B_NP_073747.1.csv
NP_001018081.4	FRMPD2	10	data/rates/FRMPD2_NP_001018081.4.csv
NP_055073.2	SYCP2	20	data/rates/SYCP2_NP_055073.2.csv
NP_001138776.1	IQCN	19	data/rates/IQCN_NP_001138776.1.csv
NP_055436.2	HOXD4	2	data/rates/HOXD4_NP_055436.2.csv
NP_009077.2	VEZF1	17	data/rates/VEZF1_NP_009077.2.csv
NP_113618.2	RILP	17	data/rates/RILP_NP_113618.2.csv
NP_004472.1	GALNT2	1	data/rates/GALNT2_NP_004472.1.csv
NP_004707.2	PCSK7	11	data/rates/PCSK7_NP_004707.2.csv
NP_003314.2	TULP2	19	data/rates/TULP2_NP_003314.2.csv
NP_149093.1	SLC45A3	1	data/rates/SLC45A3_NP_149093.1.csv
NP_001073908.2	HSF5	17	data/rates/HSF5_NP_001073908.2.csv
NP_778148.2	MFSD12	19	data/rates/MFSD12_NP_778148.2.csv
NP_002865.1	RAD23B	9	data/rates/RAD23B_NP_002865.1.csv
NP_000144.2	GALC	14	data/rates/GALC_NP_000144.2.csv
NP_110407.2	SLC25A32	8	data/rates/SLC25A32_NP_110407.2.csv
NP_036345.2	MLYCD	16	data/rates/MLYCD_NP_036345.2.csv
NP_064590.2	OTUD7B	1	data/rates/OTUD7B_NP_064590.2.csv
NP_001074001.1	TMC3	15	data/rates/TMC3_NP_001074001.1.csv
NP_982279.1	APOBEC4	1	data/rates/APOBEC4_NP_982279.1.csv
NP_665803.2	ABTB2	11	data/rates/ABTB2_NP_665803.2.csv
NP_001186728.1	ILDR1	3	data/rates/ILDR1_NP_001186728.1.csv
